_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
6320a49b90677ffc5e03090a||78.39|90.61|95.58|72.42|392,27,2,5|time|60|-1|2|60.01|0|70.38|false|false|english|none|normal|false|false|false||1663083675000
6320a3de90677ffc5e030001||88.99|89.36|103.38|79.78|445,33,8,6|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663083486000
6320a38d90677ffc5e02fbe4||84.79|92.31|96.18|77.17|424,23,4,0|time|60|-1|1|60.01|0|2.81|false|false|english|none|normal|false|false|false||1663083405000
6320a30f90677ffc5e02f539||80.59|90.68|96.58|77.05|403,22,7,4|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663083279000
6320a28a90677ffc5e02eeec||80.8|90.43|98.2|78.31|404,27,4,3|time|60|-1|5|60|0|55.39|false|false|english|none|normal|false|false|false||1663083146000
6320a1d090677ffc5efeaf2a||88|94.57|99.4|78.62|440,15,1,5|time|60|-1|1|60|0|2.46|false|false|english|none|normal|false|false|false||1663082960000
6320a18590677ffc5efeabb0||82.8|86.68|103.6|80.74|414,45,4,5|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663082885000
6320a10090677ffc5efea590||88.4|92.08|101|77.12|442,23,4,2|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663082752000
6320a03990677ffc5efe9c95||86.4|93.43|97.4|77.95|432,18,2,4|time|60|-1|1|60|0|12.43|false|false|english|none|normal|false|false|false||1663082553000
63209f8590677ffc5efe93c0||90.18|91.33|103.78|79.77|451,27,4,3|time|60|-1|1|60.01|0|37.5|false|false|english|none|normal|false|false|false||1663082373000
63209ee190677ffc5efe8b6a||93.8|93.82|103.6|75.52|469,22,1,2|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663082209000
63209e8a90677ffc5efe8736||88.6|90.12|103.2|73.81|443,32,6,6|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663082122000
631f141090677ffc5e1547f7||81.6|95.64|91.8|76.04|408,10,2,0|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1662981136000
631f13d0fba87af969f1920a||83.79|92.98|93.98|79.39|419,18,6,2|time|60|-1|1|60.01|0|13.01|false|false|english|none|normal|false|false|false||1662981071000
631f137cfba87af969f18fd8||75.19|88.48|91.98|72.68|376,34,4,3|time|60|-1|1|60.01|0|37.91|false|false|english|none|normal|false|false|false||1662980988000
631f1316fba87af969f18cf5||84.57|91.87|98.37|80.11|423,25,2,1|time|60|-1|1|60.02|0|12.15|false|false|english|none|normal|false|false|false||1662980886000
631f12c9fba87af969f18aae||80.57|89.63|98.37|80.49|403,28,5,5|time|60|-1|3|60.02|0|21.65|false|false|english|none|normal|false|false|false||1662980809000
631f121bfba87af969f185d6||85.99|95.85|96.38|77.16|430,10,1,2|time|60|-1|2|60.01|0|2|false|false|english|none|normal|false|false|false||1662980635000
631f11d4fba87af969f183eb||88|90.91|103.4|76.97|440,28,4,2|time|60|-1|2|60|0|16.09|false|false|english|none|normal|false|false|false||1662980564000
631f116efba87af969f18115||80.19|91.97|94.58|76.83|401,23,0,8|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1662980462000
